reaction_id,overall_two,numCorrect_two,overall_one,numCorrect_one,overall_zero,numCorrect_zero
R-HSA-9657775,0.0,0,0.0,0,1.0,1
R-HSA-9661419,0.0,0,0.0,0,0.0,0
R-HSA-9664261,0.0,0,0.0,0,0.0,0
R-HSA-9664933,0.0,0,0.0,0,0.0,0
R-HSA-9665412,0.0,0,0.0,0,0.0,0
R-HSA-9666433,0.0,0,0.0,0,0.0,0
R-HSA-9668902,0.0,0,0.0,0,0.0,0
R-HSA-9670417,0.0,0,0.0,0,0.0,0
R-HSA-9673054,0.0,0,0.0,0,0.0,0
R-HSA-9674531,0.3333333333333333,1,0.0,0,0.0,0
R-HSA-9678561,0.0,0,0.0,0,0.0,0
R-HSA-9680443,0.0,0,0.0,0,0.0,0
R-HSA-9683429,0.0,0,0.0,0,0.0,0
R-HSA-9683755,0.0,0,0.3333333333333333,1,0.0,0
R-HSA-9684336,0.0,0,0.0,0,0.0,0
R-HSA-9686336,0.0,0,0.0,0,0.0,0
R-HSA-9687828,0.5,1,0.5,1,0.5,1
R-HSA-9692131,0.0,0,0.0,0,0.0,0
R-HSA-9693478,0.0,0,0.0,0,0.5,1
R-HSA-9694377,0.0,0,0.0,0,0.0,0
R-HSA-9694539,0.0,0,0.0,0,0.0,0
R-HSA-9694681,0.0,0,0.0,0,0.0,0
R-HSA-9696274,0.0,0,0.0,0,0.0,0
R-HSA-9698041,0.0,0,0.0,0,0.25,1
R-HSA-9699575,0.0,0,0.0,0,0.0,0
R-HSA-9701903,0.0,0,0.0,0,1.0,1
R-HSA-9703440,0.0,0,0.0,0,0.0,0
R-HSA-9705729,0.0,0,0.0,0,0.0,0
R-HSA-9706720,1.0,1,0.0,0,0.0,0
R-HSA-9708457,0.0,0,0.0,0,0.0,0
R-HSA-9709842,0.0,0,0.0,0,0.3333333333333333,1
R-HSA-9712084,0.5,1,1.0,2,1.0,2
R-HSA-9718394,0.0,0,0.0,0,0.5,1
R-HSA-9726875,0.0,0,0.0,0,0.3333333333333333,2
R-HSA-9728664,0.0,0,0.0,0,0.0,0
R-HSA-9729870,1.0,1,0.0,0,0.0,0
R-HSA-9731708,0.0,0,0.0,0,0.0,0
R-HSA-9733772,0.0,0,0.0,0,1.0,1
R-HSA-9735179,0.0,0,0.0,0,0.4,2
R-HSA-9748963,1.0,2,1.0,2,0.0,0
R-HSA-9749986,1.0,2,0.5,1,0.0,0
R-HSA-975147,0.0,0,0.0,0,0.3333333333333333,1
R-HSA-975449,1.0,1,1.0,1,1.0,1
R-HSA-9755328,1.0,12,0.9166666666666666,11,0.8333333333333334,10
R-HSA-9756414,0.0,0,0.0,0,0.3333333333333333,1
R-HSA-9758486,0.5,1,0.5,1,0.5,1
R-HSA-9759172,0.0,0,0.0,0,0.8,4
R-HSA-9759892,0.0,0,0.0,0,1.0,1
R-HSA-9761110,0.0,0,0.0,0,0.0,0
R-HSA-9762093,0.0,0,0.0,0,0.0,0
R-HSA-9765049,0.0,0,0.0,0,0.0,0
R-HSA-9766645,0.0,0,0.0,0,0.8571428571428571,6
R-HSA-9768616,0.0,0,0.0,0,0.0,0
R-HSA-9769345,0.0,0,0.0,0,0.0,0
R-HSA-9773218,0.0,0,0.0,0,0.0,0
R-HSA-9793451,0.0,0,0.0,0,0.0,0
R-HSA-9796046,0.0,0,0.0,0,1.0,1
R-HSA-9796080,0.0,0,0.0,0,0.0,0
R-HSA-9816277,0.6666666666666666,2,0.3333333333333333,1,0.3333333333333333,1
